-750657.4438390444	  inf
-627226.3318979735	1.64431e-01
-612705.1804598800	2.31514e-02
-607300.3834730926	8.82120e-03
-604534.9139460830	4.55371e-03
-602844.9509140247	2.79548e-03
-601936.3483758505	1.50719e-03
-601343.4796866530	9.84936e-04
-600982.6677743742	6.00010e-04
-600465.1223578900	8.61165e-04
-600171.7810213688	4.88524e-04
-599872.3697761673	4.98876e-04
-599611.3230791710	4.35170e-04
-599408.4822613125	3.38287e-04
-599200.3713475335	3.47194e-04
-598940.0555241730	4.34439e-04
-598724.1628435910	3.60458e-04
-598516.4283752182	3.46962e-04
-598359.1431019435	2.62792e-04
-598220.0425126111	2.32470e-04
