-746568.4533592921	  inf
-631016.2029253282	1.54778e-01
-615725.2411130404	2.42323e-02
-609990.2988610507	9.31413e-03
-607197.2681765903	4.57881e-03
-605604.9728929779	2.62237e-03
-604463.3683664815	1.88506e-03
-603563.0795755248	1.48940e-03
-602845.7890575161	1.18843e-03
-602321.3607815617	8.69921e-04
-601896.0869361442	7.06058e-04
-601556.1142449867	5.64836e-04
-601265.6071290834	4.82926e-04
-601031.3300495869	3.89640e-04
-600850.9042342172	3.00194e-04
-600709.6477879416	2.35094e-04
-600595.2553666485	1.90429e-04
-600465.0425123578	2.16806e-04
-600365.1370500756	1.66380e-04
-600260.7289304639	1.73908e-04
-600154.4811240584	1.77003e-04
-600045.6920231427	1.81268e-04
-599960.3861976604	1.42166e-04
-599870.6145313254	1.49629e-04
-599801.3906506073	1.15398e-04
-599729.0354498212	1.20632e-04
-599652.0718972192	1.28331e-04
-599589.7050872872	1.04005e-04
-599529.5883852135	1.00263e-04
-599469.7637951062	9.97859e-05
